predicted,predictor,model,roi_type,fa_type,spillover,fold,rsquared_train,delta_rsquared_train,rsquared_test,delta_rsquared_test,loglik_train,delta_loglik_train,loglik_test,delta_loglik_test
FirstFixationDuration,SurprisalLeadingDynamic7,gpt2_k5,Leading,Dynamic7,True,0_0,0.1323568077995032,-0.0005077995197859675,0.03017841852092451,0.011043668767430459,-4.809504621173133,-0.0002927172024804747,-4.914740914258373,0.005661486292773965
FirstFixationDuration,SurprisalLeadingDynamic8,gpt2_k5,Leading,Dynamic8,True,0_0,0.13413979949697596,0.0012751921776867903,0.029569017069702497,0.010434267316208445,-4.808476072666261,0.0007358313043912545,-4.915054997838233,0.005347402712914118
FirstFixationDuration,SurprisalLeadingFixed,gpt2_k5,Leading,Fixed,True,0_0,0.13550586277989551,0.00264125546060634,0.010029914636307757,-0.009104835117186294,-4.807686602245698,0.0015253017249543532,-4.925022218212495,-0.0046198176613483355
FirstFixationDuration,SurprisalLeadingWhole,gpt2_k5,Leading,Whole,True,0_0,0.13688528658275534,0.004020679263466165,0.02406755681095074,0.00493280705745669,-4.8068881436736115,0.0023237602970409554,-4.917881538265324,0.0025208622858228225
FirstFixationDuration,SurprisalLeadingSpanning3,gpt2_k5,Leading,Spanning3,True,0_0,0.13003725053978765,-0.002827356779501522,0.033156151946383994,0.014021402192889942,-4.81083953755545,-0.0016276335847971168,-4.913203356078943,0.007199044472203653
FirstFixationDuration,SurprisalLeadingSpanning4,gpt2_k5,Leading,Spanning4,True,0_0,0.13017714263836433,-0.002687464680924845,0.033132263268007445,0.013997513514513393,-4.810759129890086,-0.0015472259194337923,-4.913215709874911,0.007186690676236118
FirstFixationDuration,SurprisalLeadingSpanning5,gpt2_k5,Leading,Spanning5,True,0_0,0.12984076082806784,-0.003023846491221338,0.030345854184648302,0.01121110443115425,-4.810952454761162,-0.0017405507905099427,-4.914654583884766,0.005747816666381134
FirstFixationDuration,SurprisalLeadingSpanning6,gpt2_k5,Leading,Spanning6,True,0_0,0.12984810793191637,-0.0030164993873728063,0.024793697723560104,0.005658947970066053,-4.810948233042576,-0.0017363290719236701,-4.917509375625522,0.002893024925625376
FirstFixationDuration,SurprisalLeadingSpanning7,gpt2_k5,Leading,Spanning7,True,0_0,0.13010140412005122,-0.0027632031992379513,0.023483918564276784,0.004349168810782733,-4.810802664743449,-0.001590760772796962,-4.918180464591266,0.0022219359598807387
FirstFixationDuration,SurprisalLeadingSpanningWhole,gpt2_k5,Leading,SpanningWhole,True,0_0,0.13022700832740242,-0.002637598991886758,0.035480474439604115,0.016345724686110064,-4.81073046479004,-0.0015185608193872824,-4.911999893464348,0.00840250708679946
FirstFixationDuration,SurprisalTrailingDynamic7,gpt2_k5,Trailing,Dynamic7,True,0_0,0.13323046080334855,0.00036585348405937523,0.027832256470015304,0.008697506716521253,-4.809000904230839,0.00021099973981364428,-4.915949037888176,0.004453362662971472
FirstFixationDuration,SurprisalTrailingDynamic8,gpt2_k5,Trailing,Dynamic8,True,0_0,0.1340044914176386,0.0011398840983494196,0.027861884708930362,0.008727134955436311,-4.808554201622908,0.0006577023477447597,-4.915933799422075,0.004468601129071992
FirstFixationDuration,SurprisalTrailingFixed,gpt2_k5,Trailing,Fixed,True,0_0,0.13536611919476527,0.0025015118754760923,0.021969270857646883,0.0028345211041528318,-4.8077674196195295,0.0014444843511229877,-4.918955400244702,0.0014470003064452897
FirstFixationDuration,SurprisalTrailingWhole,gpt2_k5,Trailing,Whole,True,0_0,0.13554686860858944,0.0026822612893002695,0.024615479587892786,0.005480729834398734,-4.807662885022249,0.0015490189484035355,-4.917600741858814,0.0028016586923333975
FirstFixationDuration,SurprisalTrailingSpanning3,gpt2_k5,Trailing,Spanning3,True,0_0,0.12976847886217313,-0.003096128457116043,0.0313017724459137,0.012167022692419649,-4.810993986793844,-0.0017820828231913666,-4.914161423635941,0.006240976915205643
FirstFixationDuration,SurprisalTrailingSpanning4,gpt2_k5,Trailing,Spanning4,True,0_0,0.12953533390823535,-0.0033292734110538236,0.02874952883370696,0.00961477908021291,-4.811127924557965,-0.0019160205873127722,-4.915477048676141,0.004925351875005646
FirstFixationDuration,SurprisalTrailingSpanning5,gpt2_k5,Trailing,Spanning5,True,0_0,0.12952273898205968,-0.003341868337229492,0.02360224764619867,0.004467497892704619,-4.811135159104953,-0.0019232551343009163,-4.918119873550322,0.0022825270008253185
