predicted,predictor,model,roi_type,fa_type,spillover,fold,rsquared_train,delta_rsquared_train,rsquared_test,delta_rsquared_test,loglik_train,delta_loglik_train,loglik_test,delta_loglik_test
FirstFixationDuration,SurprisalLeadingDynamic7,gpt2_k5,Leading,Dynamic7,True,0_0,0.6424838972465123,0.011678671375317307,0.5377709802076728,-0.01566545997804658,-4.840694941597381,0.016071972080524688,-4.89754840481678,-0.017239370349526162
FirstFixationDuration,SurprisalLeadingDynamic8,gpt2_k5,Leading,Dynamic8,True,0_0,0.6424632352977153,0.011658009426520288,0.5379854325779632,-0.015451007607756195,-4.840723837291312,0.01604307638659286,-4.897316374671151,-0.017007340203897492
FirstFixationDuration,SurprisalLeadingFixed,gpt2_k5,Leading,Fixed,True,0_0,0.642702371979594,0.011897146108398982,0.5372030776251928,-0.016233362560526543,-4.8403893028967255,0.01637761078117972,-4.89816233641366,-0.01785330194640622
FirstFixationDuration,SurprisalLeadingWhole,gpt2_k5,Leading,Whole,True,0_0,0.642175973097916,0.011370747226720934,0.5378660582478904,-0.015570381937829003,-4.841125399997309,0.015641513680596297,-4.897445546908677,-0.017136512441423335
FirstFixationDuration,SurprisalLeadingSpanning3,gpt2_k5,Leading,Spanning3,True,0_0,0.6428395647844689,0.012034338913273879,0.5425906314847648,-0.010845808700954529,-4.8401972793006305,0.016569634377274767,-4.892307545512974,-0.011998511045720583
FirstFixationDuration,SurprisalLeadingSpanning4,gpt2_k5,Leading,Spanning4,True,0_0,0.6430091157275333,0.012203889856338246,0.5447037652200298,-0.008732674965689524,-4.839959863305417,0.01680705037248842,-4.889992300045701,-0.00968326557844712
FirstFixationDuration,SurprisalLeadingSpanning5,gpt2_k5,Leading,Spanning5,True,0_0,0.6433486283421617,0.012543402470966636,0.5460706545225501,-0.007365785663169255,-4.839484117037,0.01728279664090504,-4.888488943384868,-0.00817990891761422
FirstFixationDuration,SurprisalLeadingSpanning6,gpt2_k5,Leading,Spanning6,True,0_0,0.6449030365820313,0.014097810710836267,0.5486090372952712,-0.00482740289044814,-4.83730018398855,0.01946672968935559,-4.8856850855660285,-0.0053760510987750365
FirstFixationDuration,SurprisalLeadingSpanning7,gpt2_k5,Leading,Spanning7,True,0_0,0.6464446420856622,0.015639416214467183,0.550241196193989,-0.0031952439917303233,-4.835124775979495,0.021642137698409947,-4.883873887534242,-0.003564853066988505
FirstFixationDuration,SurprisalLeadingSpanningWhole,gpt2_k5,Leading,SpanningWhole,True,0_0,0.6434664120694065,0.012661186198211438,0.5459306833176711,-0.007505756868048219,-4.839318965309202,0.017447948368703337,-4.888643096922555,-0.008334062455301883
FirstFixationDuration,SurprisalTrailingDynamic7,gpt2_k5,Trailing,Dynamic7,True,0_0,0.6407838287968417,0.009978602925646674,0.5423002918665933,-0.011136148319126016,-4.843066917438,0.013699996239905587,-4.892624818759762,-0.012315784292508347
FirstFixationDuration,SurprisalTrailingDynamic8,gpt2_k5,Trailing,Dynamic8,True,0_0,0.6408022220224655,0.009996996151270476,0.5421812091967232,-0.011255230988996168,-4.84304131489277,0.01372559878513524,-4.8927548900479785,-0.012445855580724974
FirstFixationDuration,SurprisalTrailingFixed,gpt2_k5,Trailing,Fixed,True,0_0,0.6407981532097691,0.009992927338574042,0.5421545247605224,-0.011281915425196964,-4.843046978610507,0.013719935067398659,-4.892784032209792,-0.012474997742538463
FirstFixationDuration,SurprisalTrailingWhole,gpt2_k5,Trailing,Whole,True,0_0,0.6406333119925323,0.009828086121337232,0.5423664680025609,-0.011069972183158416,-4.843276380834714,0.013490532843190906,-4.892552521444226,-0.012243486976972306
FirstFixationDuration,SurprisalTrailingSpanning3,gpt2_k5,Trailing,Spanning3,True,0_0,0.6419787802261472,0.011173554354952153,0.549040779899896,-0.004395660285823388,-4.841400868581716,0.015366045096189218,-4.885206620945753,-0.0048975864784992496
FirstFixationDuration,SurprisalTrailingSpanning4,gpt2_k5,Trailing,Spanning4,True,0_0,0.6423526231402188,0.011547397269023763,0.5503722389065437,-0.0030642012791756157,-4.840878499778846,0.015888413899059373,-4.883728185209351,-0.003419150742097088
FirstFixationDuration,SurprisalTrailingSpanning5,gpt2_k5,Trailing,Spanning5,True,0_0,0.6440856203830468,0.013280394511851812,0.5527054734204513,-0.0007309667652680707,-4.838449837319849,0.01831707635805646,-4.881126800664526,-0.0008177661972723627
FirstFixationDuration,SurprisalTrailingSpanning6,gpt2_k5,Trailing,Spanning6,True,0_0,0.6457270670051398,0.014921841133944791,0.5541710260537542,0.000734585868034876,-4.83613854631838,0.020628367359525335,-4.879485869765441,0.0008231647018126509
FirstFixationDuration,SurprisalTrailingSpanning7,gpt2_k5,Trailing,Spanning7,True,0_0,0.6471689115324004,0.016363685661205385,0.5579238990481752,0.004487458862455829,-4.834099459448792,0.022667454229113204,-4.87525918444886,0.005049850018393087
FirstFixationDuration,SurprisalTrailingSpanningWhole,gpt2_k5,Trailing,SpanningWhole,True,0_0,0.6426363748457137,0.011831148974518646,0.5503037089390936,-0.0031327312466257196,-4.840481650332346,0.016285263345559464,-4.883804386849258,-0.0034953523820044907
FirstFixationDuration,SurprisalLeadingAndTrailingDynamic7,gpt2_k5,LeadingAndTrailing,Dynamic7,True,0_0,0.6422811705547496,0.011475944683554617,0.5396907113433164,-0.013745728842402993,-4.84097838230765,0.015788531370255043,-4.895467478866027,-0.01515844439877334
FirstFixationDuration,SurprisalLeadingAndTrailingDynamic8,gpt2_k5,LeadingAndTrailing,Dynamic8,True,0_0,0.642265579610853,0.011460353739657925,0.5394052387752449,-0.014031201410474425,-4.841000174009488,0.01576673966841735,-4.895777470528299,-0.01546843606104531
