StimulusID,ContextLength,Region,RegionLength,SubtlexLogFreq,WordFreq,WordFreqLog,WordFreqZipf,PunctOrClitic,FirstFixationDuration,FirstPassDuration,RightBoundedDuration,GoPastDuration
1,1,lost,4,9.544953739112396,0.000245,-8.314251939256366,5.39,False,158.7906976744186,204.1860465116279,220.65116279069767,244.93023255813952
1,2,control,7,8.804175018753625,0.000251,-8.290057220426196,5.4,False,158.88372093023256,182.88372093023256,186.04651162790697,204.74418604651163
1,3,and,3,13.433927978319357,0.0257,-3.6612642831899125,7.41,False,59.627906976744185,64.93023255813954,64.93023255813954,108.65116279069768
1,4,laughed.,8,6.300785794663244,1.74e-05,-10.95903460463387,4.24,True,209.11627906976744,314.51162790697674,431.8139534883721,625.5813953488372
2,1,wrote,5,8.19671240721307,0.00011,-9.115029283081363,5.04,False,168.95238095238096,198.0,245.8095238095238,296.57142857142856
2,2,on,2,12.77914604367569,0.00813,-4.812194343122295,6.91,False,72.95238095238095,72.95238095238095,72.95238095238095,84.28571428571429
2,3,the,3,14.222246857765809,0.0537,-2.9243422756051207,7.73,False,120.38095238095238,125.52380952380952,139.04761904761904,208.1904761904762
2,4,envelope.,9,6.240275845170769,7.24e-06,-11.83587553950734,3.86,True,212.0,313.1428571428572,412.95238095238096,653.1428571428571
3,1,called,6,9.760828918798548,0.000389,-7.851930957276452,5.59,False,158.85714285714286,206.95238095238096,224.47619047619048,249.7142857142857
3,2,over,4,11.1197050832785,0.0012,-6.725433638854852,6.08,False,156.66666666666666,170.0,194.0952380952381,230.95238095238096
3,3,his,3,11.593251209508129,0.00324,-5.732181918313702,6.51,False,110.1904761904762,130.0,161.04761904761904,282.7619047619048
3,4,shoulder.,9,7.197435354096591,3.16e-05,-10.362350272819453,4.5,True,192.66666666666663,239.9047619047619,317.5238095238095,649.8095238095239
4,1,stayed,6,7.419380582918691,3.39e-05,-10.292092593729713,4.53,False,212.6,279.6,298.2,328.8
4,2,against,7,9.2387334464774,0.000479,-7.643809751785113,5.68,False,205.9,264.6,324.7,395.4
4,3,the,3,14.222246857765809,0.0537,-2.9243422756051207,7.73,False,167.5,176.4,189.9,323.2
4,4,wall.,5,8.190077049719049,0.00011,-9.115029283081363,5.04,True,136.9,163.1,172.4,236.6
5,1,ran,3,8.3654396361887,7.41e-05,-9.510093676135478,4.87,False,120.0952380952381,146.66666666666666,155.9047619047619,175.71428571428572
5,2,to,2,13.96096928627544,0.0269,-3.6156289886568715,7.43,False,70.95238095238095,70.95238095238095,70.95238095238095,82.0952380952381
5,3,the,3,14.222246857765809,0.0537,-2.9243422756051207,7.73,False,134.38095238095238,147.8095238095238,151.23809523809524,237.04761904761904
5,4,toilet.,7,7.295735072749282,2.04e-05,-10.799970755165333,4.31,True,193.23809523809524,232.47619047619048,331.3333333333333,539.9047619047619
6,1,cannot,6,8.774158291205957,0.000129,-8.955697378409104,5.11,False,216.95238095238096,309.42857142857144,309.42857142857144,314.3809523809524
6,2,tell,4,11.384512380004418,0.000339,-7.989510155598617,5.53,False,178.0,202.28571428571428,205.7142857142857,230.0952380952381
6,3,you,3,14.573842769379338,0.00955,-4.651214114018294,6.98,False,214.57142857142856,218.0952380952381,228.66666666666663,263.9047619047619
6,4,more.,5,11.1008586132275,0.00229,-6.079203417747867,6.36,True,147.9047619047619,173.61904761904762,187.8095238095238,363.4285714285714
7,1,gave,4,9.427707270512938,0.000178,-8.633726445874593,5.25,False,144.390243902439,159.5121951219512,178.2439024390244,213.26829268292684
7,2,Adam,4,7.544332108053688,3.72e-05,-10.199199108516742,4.57,False,162.0487804878049,171.90243902439025,195.90243902439025,228.1951219512195
7,3,two,3,10.903825271935895,0.00126,-6.676643478653674,6.1,False,158.82926829268294,158.82926829268294,186.2439024390244,277.3658536585366
7,4,pounds.,7,7.374629015218945,3.39e-05,-10.292092593729713,4.53,True,200.6829268292683,314.0487804878049,361.9512195121951,651.609756097561
8,1,smiled,6,5.5254529391317835,7.24e-06,-11.83587553950734,3.86,False,167.90243902439025,204.4878048780488,245.85365853658536,310.5365853658537
8,2,and,3,13.433927978319357,0.0257,-3.6612642831899125,7.41,False,134.34146341463415,149.9512195121951,149.9512195121951,164.09756097560975
8,3,sat,3,7.285506548522785,4.37e-05,-10.038160167535828,4.64,False,245.46341463414635,280.0975609756098,295.9024390243902,340.390243902439
8,4,down.,5,11.238541249462422,0.000759,-7.183508648816347,5.88,True,177.9512195121951,226.3414634146341,247.21951219512195,310.2439024390244
9,1,were,4,11.348097990478854,0.00219,-6.123853689491628,6.34,False,136.28571428571428,145.23809523809524,153.61904761904762,180.0952380952381
9,2,looking,7,10.00179324132025,0.000372,-7.89661643487396,5.57,False,137.61904761904762,153.14285714285714,176.47619047619048,227.23809523809524
9,3,up,2,12.13977257377294,0.00245,-6.011667213609176,6.39,False,126.1904761904762,139.42857142857142,157.04761904761904,224.0
9,4,again.,6,10.607277893194553,0.000501,-7.5989042572786305,5.7,True,213.23809523809524,271.9047619047619,319.42857142857144,577.9047619047619
10,1,man's,5,,2.19e-05,-10.7290193549422,4.34,True,157.46341463414635,209.9512195121951,233.7560975609756,264.0
10,2,hair,4,8.965845494750937,0.00012,-9.028017981849242,5.08,False,182.9268292682927,198.2439024390244,212.390243902439,240.2926829268293
10,3,is,2,13.038248891280736,0.0117,-4.448166428631418,7.07,False,154.82926829268294,157.65853658536585,157.65853658536585,226.3414634146341
10,4,black.,6,9.05543941075822,0.000288,-8.152549730606166,5.46,True,225.65853658536585,317.8536585365854,387.7073170731707,614.439024390244
11,1,your,4,12.702946392928103,0.00339,-5.686925328091253,6.53,False,143.14285714285714,193.23809523809524,204.7619047619048,232.8571428571429
11,2,hearing,7,7.732369222284388,6.61e-05,-9.624340298248473,4.82,False,181.23809523809524,241.52380952380952,260.4761904761905,300.57142857142856
11,3,aid,3,6.5638555265321274,5.62e-05,-9.786592021706781,4.75,False,203.23809523809524,221.9047619047619,346.95238095238096,546.5714285714286
11,4,up.,3,12.13977257377294,0.00245,-6.011667213609176,6.39,True,163.42857142857142,178.0952380952381,228.1904761904762,417.2380952380952
12,1,demand,6,6.771935555839602,6.92e-05,-9.57850825025499,4.84,False,182.9767441860465,204.46511627906972,221.5813953488372,298.9767441860465
12,2,nothing,7,10.681297520974782,0.000355,-7.943392486798757,5.55,False,197.7674418604651,256.3720930232558,314.69767441860466,393.5813953488372
12,3,of,2,13.288621606997308,0.0251,-3.684887428860335,7.4,False,158.13953488372093,172.27906976744185,185.86046511627907,299.4418604651163
12,4,me.,3,13.063332859329108,0.00302,-5.802498414482777,6.48,True,68.37209302325581,81.02325581395348,81.02325581395348,106.51162790697674
13,1,horse,5,8.463159302923751,5.75e-05,-9.763723871032047,4.76,False,177.42857142857142,269.23809523809524,269.23809523809524,278.0
13,2,has,3,10.965262951152264,0.00234,-6.057604306877485,6.37,False,98.85714285714286,102.66666666666669,106.0,122.28571428571428
13,3,thrown,6,6.953684210870537,2.51e-05,-10.592638727770726,4.4,False,174.85714285714286,218.66666666666663,247.52380952380952,310.57142857142856
13,4,a,1,13.855864282863422,0.0229,-3.776618364055131,7.36,False,56.76190476190476,59.523809523809526,59.523809523809526,92.0952380952381
13,5,shoe.,5,7.346010209913292,1.74e-05,-10.95903460463387,4.24,True,194.3809523809524,273.04761904761904,359.6190476190476,681.6190476190476
14,1,tube,4,6.731018100482083,2.29e-05,-10.684369280601388,4.36,False,200.8780487804878,294.5365853658537,294.5365853658537,308.0975609756098
14,2,train,5,8.48632152774915,9.12e-05,-9.302454564393361,4.96,False,169.65853658536585,196.09756097560967,196.09756097560967,196.09756097560967
14,3,took,4,9.767324127723256,0.000324,-8.034766733530017,5.51,False,197.17073170731703,228.0,255.609756097561,342.1463414634146
14,4,his,3,11.593251209508129,0.00324,-5.732181918313702,6.51,False,195.8048780487805,228.390243902439,258.2439024390244,454.9268292682927
14,5,legs.,5,7.949797216161852,4.68e-05,-9.969625218290819,4.67,True,185.7560975609756,242.8292682926829,356.390243902439,727.609756097561
