StimulusID,ContextLength,Region,RegionCleaned,RegionLength,SubtlexLogFreq,WordFreq,WordFreqLog,WordFreqZipf,PunctOrClitic,DwellTime,FirstFixationDuration,FirstPassDwellTime,FirstPassLandingPosition,SkipRate
en-universal-test.conllu 1205,0,"Meanwhile,",meanwhile,9.0,2.91009054559407,3.02e-05,-10.40766863358345,4.48,True,416.875,189.78125,329.78125,0.3271875,0.0
en-universal-test.conllu 1205,1,the,the,3.0,6.1766436197553,0.0537,-2.9243422774673182,7.73,False,122.1875,166.05882352941177,166.05882352941177,0.6358823529411765,0.59375
en-universal-test.conllu 1205,2,retail,retail,6.0,2.07554696139253,3.55e-05,-10.245977861482904,4.55,False,286.03125,232.25,249.16666666666666,0.7320833333333333,0.3125
en-universal-test.conllu 1205,3,sales,sales,5.0,2.81224469680037,0.000105,-9.161550207806751,5.02,False,419.1875,257.3666666666667,291.03333333333336,0.7693333333333334,0.125
en-universal-test.conllu 1205,4,report,report,6.0,3.74107277237332,0.000209,-8.473176305999463,5.32,False,441.21875,325.6666666666667,342.73333333333335,0.913,0.0625
en-universal-test.conllu 1205,5,showed,showed,6.0,3.38489079653055,7.24e-05,-9.533304258572603,4.86,False,341.3125,206.9655172413793,236.27586206896552,1.2324137931034485,0.09375
en-universal-test.conllu 1205,6,that,that,4.0,5.8571382268439,0.0102,-4.585367558691911,7.01,False,180.4375,213.31578947368422,220.3684210526316,0.708421052631579,0.59375
en-universal-test.conllu 1205,7,car,car,3.0,4.39158782350995,0.000282,-8.17360348702616,5.45,False,178.59375,191.13636363636363,191.13636363636363,0.6018181818181818,0.46875
en-universal-test.conllu 1205,8,sales,sales,5.0,2.81224469680037,0.000105,-9.161550207806751,5.02,False,276.4375,218.12,237.4,0.8084,0.375
en-universal-test.conllu 1205,9,rose,rose,4.0,3.43216726944259,6.61e-05,-9.624341811106634,4.82,False,280.28125,212.93103448275863,237.51724137931035,0.6910344827586207,0.21875
en-universal-test.conllu 1205,10,0.8%,NUM%,3.0,1.46239799789896,1.71e-07,-15.581602280443752,2.23,True,556.5,242.83333333333334,298.1666666666667,0.8433333333333334,0.125
en-universal-test.conllu 1205,11,in,in,2.0,5.69761724386273,0.0186,-3.9845936982629815,7.27,False,108.03125,226.25,226.25,0.3641666666666667,0.8125
en-universal-test.conllu 1205,12,September,september,9.0,2.74973631556906,0.000141,-8.866750667586105,5.15,False,433.5625,222.16666666666666,262.0,1.1246666666666667,0.1875
en-universal-test.conllu 1205,13,to,to,2.0,6.06317229855216,0.0269,-3.6156289923743437,7.43,False,112.75,218.4,218.4,0.43,0.71875
en-universal-test.conllu 1205,14,$32.82,$NUM,5.0,1.46239799789896,7.81e-09,-18.667860873094817,0.89,True,799.5,260.48387096774195,505.5483870967742,0.9854838709677419,0.125
en-universal-test.conllu 1205,15,billion.,billion,7.0,2.75511226639507,5.62e-05,-9.78659380106463,4.75,True,124.03125,237.3846153846154,272.84615384615387,0.48230769230769227,0.59375
en-universal-test.conllu 124,0,The,the,3.0,6.1766436197553,0.0537,-2.9243422774673182,7.73,False,178.3125,166.67741935483872,181.90322580645162,0.3032258064516129,0.03125
en-universal-test.conllu 124,1,week's,week's,6.0,,1.12e-05,-11.399596779663225,4.05,True,380.28125,199.6206896551724,230.41379310344828,1.0448275862068965,0.34375
en-universal-test.conllu 124,2,total,total,5.0,3.28352736486169,0.000162,-8.72791422273189,5.21,False,463.25,236.82758620689654,277.82758620689657,0.7137931034482758,0.125
en-universal-test.conllu 124,3,was,was,3.0,5.45998320887664,0.00661,-5.019171625118542,6.82,False,270.75,216.36,227.92,0.738,0.46875
en-universal-test.conllu 124,4,up,up,2.0,5.27223856066483,0.00245,-6.011667254425501,6.39,False,271.53125,250.95238095238096,250.95238095238096,0.48857142857142855,0.4375
en-universal-test.conllu 124,5,6.2%,NUM%,3.0,1.46239799789896,4.39e-06,-12.336181330877194,3.64,True,833.03125,235.5,285.2,0.6343333333333334,0.15625
en-universal-test.conllu 124,6,from,from,4.0,5.01700410695563,0.00427,-5.456141451741604,6.63,False,326.6875,205.96153846153845,213.57692307692307,0.8076923076923077,0.375
en-universal-test.conllu 124,7,"274,963",NUM,6.0,1.46239799789896,1.19e-10,-22.85189762281702,3.1,True,1310.09375,255.15625,432.21875,1.0059375,0.0
en-universal-test.conllu 124,8,tons,tons,4.0,2.68214507637383,2.88e-05,-10.455135170822373,4.46,False,464.59375,266.6666666666667,299.4583333333333,0.6162500000000001,0.46875
en-universal-test.conllu 124,9,a,a,1.0,6.01752581716572,0.0229,-3.776618368421943,7.36,False,158.3125,209.05263157894737,216.73684210526315,0.23105263157894734,0.6875
en-universal-test.conllu 124,10,year,year,4.0,4.15152306756494,0.000912,-6.999870567889943,5.96,False,331.0,217.15384615384616,233.57692307692307,0.49769230769230766,0.25
en-universal-test.conllu 124,11,earlier.,earlier,7.0,3.30341207059674,9.55e-05,-9.25638431047759,4.98,True,162.40625,180.35,180.35,0.446,0.375
en-universal-test.conllu 1267,0,A,a,1.0,6.01752581716572,0.0229,-3.776618368421943,7.36,False,196.03125,187.09375,187.09375,0.3521875,0.0
en-universal-test.conllu 1267,1,Flemish,flemish,7.0,0.845098040014257,1.23e-06,-13.608496388579947,3.09,False,591.125,210.89285714285714,264.57142857142856,1.2192857142857143,0.28125
en-universal-test.conllu 1267,2,game,game,4.0,4.07653121925381,0.000525,-7.55211229537265,5.72,False,446.625,238.27586206896552,256.9655172413793,0.6855172413793104,0.125
en-universal-test.conllu 1267,3,show,show,4.0,4.3963214207558,0.000479,-7.643809960553359,5.68,False,381.875,217.68965517241378,253.93103448275863,0.7589655172413794,0.15625
en-universal-test.conllu 1267,4,has,has,3.0,4.76216070208618,0.00234,-6.057604349612527,6.37,False,405.25,258.1111111111111,272.0,0.647037037037037,0.5
en-universal-test.conllu 1267,5,as,as,2.0,5.05334355121762,0.00589,-5.134499281318642,6.77,False,440.09375,241.92857142857142,253.71428571428572,0.36678571428571427,0.5625
en-universal-test.conllu 1267,6,its,its,3.0,3.94240494085611,0.00138,-6.5856717798130235,6.14,False,383.9375,252.16,280.16,0.3256,0.40625
en-universal-test.conllu 1267,7,host,host,4.0,2.88479536394898,5.89e-05,-9.739669467306733,4.77,False,397.46875,231.0344827586207,231.0344827586207,0.7086206896551724,0.25
en-universal-test.conllu 1267,8,a,a,1.0,6.01752581716572,0.0229,-3.776618368421943,7.36,False,127.84375,212.73333333333332,212.73333333333332,0.21600000000000003,0.6875
en-universal-test.conllu 1267,9,Belgian,belgian,7.0,1.69019608002851,6.61e-06,-11.926926904100679,3.82,False,506.125,198.23333333333332,222.8,1.0153333333333332,0.15625
