StimulusID,ContextLength,Region,RegionLength,SubtlexLogFreq,Freq,WordFreq,WordFreqLog,WordFreqZipf,PunctOrClitic,TotalDuration,GazeDuration,FirstFixationDuration
1,0,In,2,5.69761724386273,0.0186,0.0186,-3.9845936982629815,7.27,False,76.7894736842105,52.6315789473684,45.2368421052632
1,1,ancient,7,3.04375512696868,4.79e-05,4.79e-05,-9.946395053547404,4.68,False,615.368421052632,322.394736842105,204.263157894737
1,2,Roman,5,2.72835378202123,3.16e-05,3.16e-05,-10.362353437371407,4.5,False,516.605263157895,258.131578947368,196.131578947368
1,3,religion,8,2.85003325768977,5.5e-05,5.5e-05,-9.808177372731803,4.74,False,683.684210526316,298.078947368421,225.973684210526
1,4,and,3,5.8342814273373,0.0257,0.0257,-3.661264287080963,7.41,False,172.552631578947,129.868421052632,122.105263157895
1,5,"myth,",5,2.54777470538782,1.2e-05,1.2e-05,-11.330603908176274,4.08,True,496.263157894737,279.131578947368,258.210526315789
1,6,Janus,5,1.96378782734556,1.05e-06,1.05e-06,-13.766720393794841,3.02,False,580.684210526316,310.473684210526,241.473684210526
1,7,is,2,5.662440491974,0.0117,0.0117,-4.448166437178426,7.07,False,200.552631578947,142.526315789474,142.526315789474
1,8,the,3,6.1766436197553,0.0537,0.0537,-2.9243422774673182,7.73,False,251.763157894737,147.684210526316,135.421052631579
1,9,god,3,4.66334279099049,0.000372,0.000372,-7.8966167036911274,5.57,False,271.131578947368,158.394736842105,146.263157894737
1,10,of,2,5.77117577156368,0.0251,0.0251,-3.684887432844399,7.4,False,142.973684210526,115.473684210526,109.973684210526
1,11,beginnings,10,1.81954393554187,4.37e-06,4.37e-06,-12.340747548856775,3.64,False,676.315789473684,321.894736842105,223.394736842105
1,12,and,3,5.8342814273373,0.0257,0.0257,-3.661264287080963,7.41,False,128.210526315789,87.7105263157895,74.2631578947368
1,13,gates.,6,2.83569057149243,2e-05,2e-05,-10.819778284410283,4.3,True,446.184210526316,307.289473684211,224.421052631579
1,14,He,2,5.59050523199268,0.0049,0.0049,-5.318520073865556,6.69,False,118.473684210526,96.0526315789474,96.0526315789474
1,15,has,3,4.76216070208618,0.00234,0.00234,-6.057604349612527,6.37,False,238.157894736842,160.578947368421,150.210526315789
1,16,a,1,6.01752581716572,0.0229,0.0229,-3.776618368421943,7.36,False,97.8947368421053,81.1578947368421,81.1578947368421
1,17,double,6,3.50501424008411,0.000102,0.000102,-9.190537744680004,5.01,False,246.684210526316,164.026315789474,143.526315789474
1,18,nature,6,3.36248247475117,9.55e-05,9.55e-05,-9.25638431047759,4.98,False,303.157894736842,195.894736842105,165.052631578947
