StimulusID,ContextLength,Region,RegionLength,SubtlexLogFreq,WordFreq,WordFreqLog,WordFreqZipf,PunctOrClitic,FirstFixationDuration,FirstPassDuration,RightBoundedDuration,GoPastDuration,SurprisalLeadingDynamic7,SurprisalLeadingDynamic8,SurprisalLeadingFixed,SurprisalLeadingWhole,SurprisalLeadingSpanning3,SurprisalLeadingSpanning4,SurprisalLeadingSpanning5,SurprisalLeadingSpanning6,SurprisalLeadingSpanning7,SurprisalLeadingSpanningWhole,SurprisalTrailingDynamic7,SurprisalTrailingDynamic8,SurprisalTrailingFixed,SurprisalTrailingWhole,SurprisalTrailingSpanning3,SurprisalTrailingSpanning4,SurprisalTrailingSpanning5,SurprisalTrailingSpanning6,SurprisalTrailingSpanning7,SurprisalTrailingSpanningWhole,SurprisalLeadingAndTrailingDynamic7,SurprisalLeadingAndTrailingDynamic8,SurprisalLeadingAndTrailingFixed,SurprisalLeadingAndTrailingWhole,SurprisalLeadingAndTrailingSpanning3,SurprisalLeadingAndTrailingSpanning4,SurprisalLeadingAndTrailingSpanning5,SurprisalLeadingAndTrailingSpanning6,SurprisalLeadingAndTrailingSpanning7,SurprisalLeadingAndTrailingSpanningWhole,SurprisalNoWhitespaceDynamic7,SurprisalNoWhitespaceDynamic8,SurprisalNoWhitespaceFixed,SurprisalNoWhitespaceWhole,SurprisalNoWhitespaceSpanning3,SurprisalNoWhitespaceSpanning4,SurprisalNoWhitespaceSpanning5,SurprisalNoWhitespaceSpanning6,SurprisalNoWhitespaceSpanning7,SurprisalNoWhitespaceSpanningWhole,RegionLengthPrev,RegionLengthPrevPrev,SubtlexLogFreqPrev,SubtlexLogFreqPrevPrev,WordFreqZipfPrev,WordFreqZipfPrevPrev,SurprisalLeadingPrev,SurprisalLeadingPrevPrev,SurprisalTrailingPrev,SurprisalTrailingPrevPrev,SurprisalLeadingAndTrailingPrev,SurprisalLeadingAndTrailingPrevPrev,SurprisalNoWhitespacePrev,SurprisalNoWhitespacePrevPrev
138,6,her,3,11.88191329326812,0.002,-6.214608048422193,6.3,False,130.38095238095238,134.66666666666666,142.1904761904762,251.8095238095238,2.3095148260059304,2.3095148260059304,2.3004593095222248,2.3095148260059304,3.817885767414971,3.8381678824914047,3.8386896109431277,5.004486778248463,5.104077565457864,3.8386896109431277,2.3517289356584357,2.3517289356584357,2.3073254400792322,2.3517289356584357,3.8359784965647066,3.8365002250164295,5.002297392321765,5.101888179531166,5.183390691906588,5.002297392321765,2.3095148260059304,2.353918321585134,2.3004593095222248,2.353918321585134,3.817885767414971,3.8381678824914047,3.8386896109431277,5.004486778248463,5.104077565457864,5.004486778248463,2.3073254400792322,2.3073254400792322,2.3073254400792322,2.3073254400792322,3.8359784965647066,3.8365002250164295,5.002297392321765,5.101888179531166,5.183390691906588,3.8365002250164295,4.0,4.0,7.331060305218632,7.664815785285735,4.56,4.07,6.624113625760842,13.39039378765992,6.5581734915385255,13.45666881914753,6.62630301168754,13.458523307808935,6.555984105611827,13.388539298998516
138,7,hand,4,9.565353936588249,0.000257,-8.266434083964072,5.41,False,173.61904761904762,198.28571428571428,218.28571428571428,281.7142857142857,1.5291747849371973,1.5291747849371973,1.5083709414090407,1.5291747849371973,2.876065251827356,2.8784013238921133,3.2508442326338596,3.6790968156462753,3.7214601948181922,2.876065251827356,2.650568456663329,2.650568456663329,1.484249560906271,2.650568456663329,2.83399782831291,3.206440737054656,3.634693320067072,3.677056699238989,3.7329235580305635,2.83399782831291,1.5291747849371973,2.6949719522425326,1.5083709414090407,2.6949719522425326,2.876065251827356,2.8784013238921133,3.2508442326338596,3.6790968156462753,3.7214601948181922,2.8784013238921133,1.4847712893579939,1.4847712893579939,1.484249560906271,1.4847712893579939,2.83399782831291,3.206440737054656,3.634693320067072,3.677056699238989,3.7329235580305635,2.8316617562481525,3.0,4.0,11.88191329326812,7.331060305218632,6.3,4.56,2.3095148260059304,6.624113625760842,2.3517289356584357,6.5581734915385255,2.353918321585134,6.62630301168754,2.3073254400792322,6.555984105611827
138,8,on,2,12.77914604367569,0.00813,-4.812194343122295,6.91,False,48.19047619047619,48.19047619047619,48.19047619047619,75.23809523809524,1.3468904668901587,1.3468904668901587,1.3468904668901587,1.3468904668901587,2.149922030709078,2.192285409880995,2.2481522686725697,3.771124221515059,3.8631959042276875,2.192285409880995,0.18342937164958073,0.18342937164958073,0.18342937164958073,0.18342937164958073,1.0264882425756596,1.0823551013672343,2.6053270542097238,2.697398736922352,2.729827122063895,1.0823551013672343,1.349226538954916,1.349226538954916,1.3468904668901587,1.349226538954916,2.149922030709078,2.192285409880995,2.2481522686725697,3.771124221515059,3.8631959042276875,2.2481522686725697,0.18109329958482334,0.18109329958482334,0.18342937164958073,0.18109329958482334,1.0264882425756596,1.0823551013672343,2.6053270542097238,2.697398736922352,2.729827122063895,1.0264882425756596,4.0,3.0,9.565353936588249,11.88191329326812,5.41,6.3,1.5291747849371973,2.3095148260059304,2.650568456663329,2.3517289356584357,2.6949719522425326,2.353918321585134,1.4847712893579939,2.3073254400792322
138,9,his,3,11.593251209508129,0.00324,-5.732181918313702,6.51,False,164.38095238095238,183.52380952380952,224.0952380952381,405.3333333333333,0.8453949429908363,0.8453949429908363,0.8030315638189194,0.8453949429908363,2.516305437337529,2.548733822479072,3.911059992524656,3.9111884550008327,3.9111884550008327,3.9111884550008327,0.8989257297176536,0.8989257297176536,0.8430588709260789,0.8989257297176536,2.5463977504143145,3.9087239204598987,3.9088523829360753,3.9088523829360753,3.9088523829360753,3.9088523829360753,0.901261801782411,0.901261801782411,0.8030315638189194,0.901261801782411,2.516305437337529,2.548733822479072,3.911059992524656,3.9111884550008327,3.9111884550008327,3.9111884550008327,0.8430588709260789,0.8430588709260789,0.8430588709260789,0.8430588709260789,2.5463977504143145,3.9087239204598987,3.9088523829360753,3.9088523829360753,3.9088523829360753,3.9088523829360753,2.0,4.0,12.77914604367569,9.565353936588249,6.91,5.41,1.3468904668901587,1.5291747849371973,0.18342937164958073,2.650568456663329,1.349226538954916,2.6949719522425326,0.18109329958482334,1.4847712893579939
138,10,cheek.,6,5.8998973535824915,9.12e-06,-11.605029789025869,3.96,True,177.33333333333334,223.8095238095238,292.0,954.8571428571428,3.06566504953382,3.0657935120099964,1.6709104943466926,3.0657935120099964,3.0657935120099964,3.0657935120099964,3.0657935120099964,3.0657935120099964,3.0657935120099964,3.0657935120099964,3.0099266532184217,3.0099266532184217,1.6474720206966609,3.0099266532184217,3.0099266532184217,3.0099266532184217,3.0099266532184217,3.0099266532184217,3.0099266532184217,3.0099266532184217,3.06566504953382,3.0657935120099964,1.6709104943466926,3.0657935120099964,3.0657935120099964,3.0657935120099964,3.0657935120099964,3.0657935120099964,3.0657935120099964,3.0657935120099964,3.0099266532184217,3.0099266532184217,1.6474720206966609,3.0099266532184217,3.0099266532184217,3.0099266532184217,3.0099266532184217,3.0099266532184217,3.0099266532184217,3.0099266532184217,3.0,2.0,11.593251209508129,12.77914604367569,6.51,6.91,0.8453949429908363,1.3468904668901587,0.8989257297176536,0.18342937164958073,0.901261801782411,1.349226538954916,0.8430588709260789,0.18109329958482334
139,1,stood,5,7.181591944611864,3.72e-05,-10.199199108516742,4.57,False,156.93023255813952,177.11627906976744,194.32558139534885,208.5581395348837,9.557897243985131,10.542630116691072,7.321240442661665,10.558513816879806,15.945540266668964,15.965981535430565,15.988605553360287,15.98868705325198,16.074702669200136,16.074704403285438,9.49851887560669,10.48325174831263,9.49851887560669,10.536168990695808,15.906603167052124,15.929227184981846,15.929308684873538,16.015324300821696,16.015326034906998,16.017004407626395,7.321240442661665,9.557897243985131,7.321240442661665,10.59554735907425,15.945540266668964,15.965981535430565,15.988605553360287,15.98868705325198,16.074702669200136,16.076382776004838,10.48325174831263,10.499135448501365,9.49851887560669,10.499135448501365,15.906603167052124,15.929227184981846,15.929308684873538,16.015324300821696,16.015326034906998,16.015326034906998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2,against,7,9.2387334464774,0.000479,-7.643809751785113,5.68,False,156.74418604651163,182.5116279069768,187.2558139534884,197.5813953488372,5.407467718550759,5.430091736480481,5.387026449789158,5.5161905864056315,6.340579424462383,6.368999740442771,6.384544000300103,7.371788848234726,7.448398034356632,6.368999740442771,5.393058194286038,5.39313969417773,5.370434176356316,5.480835416930589,6.3319661982483275,6.34751045810566,7.334755306040282,7.411364492162189,7.4240690152839655,6.34751045810566,5.407467718550759,5.430091736480481,5.387026449789158,5.517868959125032,6.340579424462383,6.368999740442771,6.384544000300103,7.371788848234726,7.448398034356632,6.384544000300103,5.39313969417773,5.479155310125886,5.370434176356316,5.479157044211188,6.3319661982483275,6.34751045810566,7.334755306040282,7.411364492162189,7.4240690152839655,6.3319661982483275,5.0,0.0,7.181591944611864,0.0,4.57,0.0,10.558513816879806,0.0,10.536168990695808,0.0,10.59554735907425,0.0,10.499135448501365,0.0
139,3,the,3,14.222246857765809,0.0537,-2.9243422756051207,7.73,False,84.09302325581395,84.09302325581395,84.09302325581395,100.46511627906976,0.8243888380567519,0.8528091540371392,0.8243888380567519,0.8528091540371392,1.9322074479510007,1.9449119710727771,1.9462835168764094,2.3427575607013758,4.567938693095961,1.9462835168764094,0.8511307813177389,0.8666750411750712,0.8511307813177389,0.8666750411750712,1.9432335983533768,1.9446051441570091,2.3410791879819755,4.566260320376561,4.926847069044197,2.3410791879819755,0.8243888380567519,0.8528091540371392,0.8243888380567519,0.8683534138944715,1.9322074479510007,1.9449119710727771,1.9462835168764094,2.3427575607013758,4.567938693095961,2.3427575607013758,0.8511307813177389,0.8511307813177389,0.8511307813177389,0.8511307813177389,1.9432335983533768,1.9446051441570091,2.3410791879819755,4.566260320376561,4.926847069044197,1.9446051441570091,7.0,5.0,9.2387334464774,7.181591944611864,5.68,4.57,5.5161905864056315,10.558513816879806,5.480835416930589,10.536168990695808,5.517868959125032,10.59554735907425,5.479157044211188,10.499135448501365
139,4,wall,4,8.190077049719049,0.00011,-9.115029283081364,5.04,False,117.3953488372093,118.23255813953487,126.7906976744186,147.53488372093022,1.0934743628392702,1.0934743628392702,1.0793982939138616,1.0934743628392702,4.075716287726458,4.079704827305946,4.0798984739345485,4.094273956119061,4.7093465221550765,4.0798984739345485,1.4744041468069042,1.4744041468069042,1.0765585571783056,1.4744041468069042,4.064160567448614,4.064354214077216,4.078729696261728,4.693802262297744,4.718729761546875,4.078729696261728,1.0934743628392702,1.4899484066642366,1.0793982939138616,1.4899484066642366,4.075716287726458,4.079704827305946,4.0798984739345485,4.094273956119061,4.7093465221550765,4.094273956119061,1.077930102981938,1.077930102981938,1.0765585571783056,1.077930102981938,4.064160567448614,4.064354214077216,4.078729696261728,4.693802262297744,4.718729761546875,4.064354214077216,3.0,7.0,14.222246857765809,9.2387334464774,7.73,5.68,0.8528091540371392,5.5161905864056315,0.8666750411750712,5.480835416930589,0.8683534138944715,5.517868959125032,0.8511307813177389,5.479157044211188
139,5,with,4,12.458639067517554,0.00708,-4.950481357152215,6.85,False,114.88372093023256,133.86046511627907,133.86046511627907,139.72093023255815,2.9864241110952783,2.9864241110952783,2.9822419248871874,2.9864241110952783,3.640799658564937,3.6508549092685705,3.6513666392696216,4.650452138129982,4.853594868709234,3.6508549092685705,2.604325549454824,2.604325549454824,2.5897564206417094,2.604325549454824,3.254380865443604,3.2548925954446553,4.253978094305015,4.457120824884267,4.476403973225221,3.2548925954446553,2.9862304644666757,2.9864241110952783,2.9822419248871874,3.0007995932797904,3.640799658564937,3.6508549092685705,3.6513666392696216,4.650452138129982,4.853594868709234,3.6513666392696216,2.589950067270312,2.589950067270312,2.5897564206417094,2.589950067270312,3.254380865443604,3.2548925954446553,4.253978094305015,4.457120824884267,4.476403973225221,3.254380865443604,4.0,3.0,8.190077049719049,14.222246857765809,5.04,7.73,1.0934743628392702,0.8528091540371392,1.4744041468069042,0.8666750411750712,1.4899484066642366,0.8683534138944715,1.077930102981938,0.8511307813177389
